date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2024-02-07,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-02-08,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-02-09,-2,16,0,53,6,0,9,0,0,-3,0,0,0,6,0,0,0,0,3,0,-2,-4,10,0,0,0,0,1,0
2024-02-12,0,11,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,1,7,0,2,1,11,0,0,0,0,8,0
2024-02-13,-5,1,0,0,2,0,-4,0,4,-16,0,4,0,2,-4,5,4,11,-4,7,-5,-5,-1,0,4,4,0,1,1
2024-02-14,-5,2,0,0,2,0,-4,0,4,-16,0,4,0,2,-4,5,4,11,-4,7,-5,-5,-1,0,4,4,0,1,1
2024-02-15,-5,1,0,0,2,0,-4,0,4,-16,0,4,0,2,-4,5,4,11,-4,7,-5,-5,-1,0,4,4,0,1,1
2024-02-16,-4,0,0,0,4,0,-2,0,0,-16,0,5,0,0,-4,5,0,12,-3,6,-4,-4,207,0,5,0,0,0,0
2024-02-20,6,8,0,2,13,0,22,0,-10,4,0,17,0,3,1,20,12,7,10,27,4,5,9,0,2,-8,0,8,3
2024-02-21,6,8,0,2,13,0,22,0,-2,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,-4,0,8,0
2024-02-22,0,11,0,0,11,0,16,0,0,0,0,0,0,1,0,0,0,1,7,0,3,0,11,0,0,0,0,8,0
2024-02-23,-8,3,0,4,0,0,-2,0,3,-16,0,6,0,3,-3,6,4,11,-1,9,-5,-2,-3,0,2,6,0,-2,1
2024-02-26,-1,0,0,0,10,0,0,0,3,-9,0,1,0,3,-4,0,0,8,451,0,-2,-5,0,0,1,0,0,1,0
2024-02-27,6,8,0,2,13,0,22,0,0,4,0,7,0,3,1,6,4,7,10,9,4,5,9,0,2,-6,0,8,1
2024-02-28,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-02-29,-2,7,0,-1,2,0,-3,0,1,-8,0,1,0,94,-4,1,4,2,-3,3,-4,-8,3,0,1,1,0,1,3
2024-03-01,0,13,0,0,9,0,14,0,-1,0,0,1,0,0,0,1,4,0,8,-3,0,0,11,0,0,-1,0,5,0
2024-03-04,-9,1,0,-1,-1,0,-4,0,0,0,0,3,0,1,-4,5,7,10,-5,7,-6,-5,-2,0,0,4,0,-2,2
2024-03-05,-8,0,0,-1,0,0,-2,0,1,0,0,5,0,0,-4,2,5,11,-4,8,-6,-4,-3,0,0,0,0,-1,0
2024-03-06,-7,0,0,1,0,0,-2,0,0,0,0,0,0,0,-3,0,3,12,-2,8,-5,-4,-2,0,0,0,0,-1,0
2024-03-07,-7,0,0,0,0,0,-2,0,0,0,0,0,0,0,-3,2,1,12,-2,8,-5,-4,-2,0,0,0,0,-1,0
2024-03-08,-7,0,0,0,0,0,-2,0,0,0,0,0,0,0,-3,1,0,12,-2,8,-5,-4,-2,0,0,0,0,-1,0
2024-03-11,-7,0,0,0,0,0,-2,0,0,0,0,0,0,0,-3,1,1,12,-2,8,-5,-4,-2,0,0,0,0,-1,0
2024-03-12,-11,-2,0,0,-4,0,-13,0,5,0,2,6,0,1,-3,3,6,8,-6,7,-9,-6,-5,0,2,7,0,-3,4
2024-03-13,-8,6,0,0,0,0,1057,0,0,0,-2,0,0,0,-3,5,0,10,-2,7,-5,-5,-1,0,0,0,0,287,0
2024-03-14,6,8,0,2,13,0,22,0,-6,4,0,14,0,3,1,19,23,7,10,61,4,5,9,0,2,-8,0,8,9
2024-03-15,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,-3,0,8,0
2024-03-18,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-03-19,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-03-20,0,11,0,0,6,0,0,0,0,-7,0,0,0,5,-1,0,0,3,-2,0,-2,-4,6,0,0,0,0,3,1
2024-03-21,-4,1,0,8,2,0,-7,0,3,-9,0,5,0,1,-5,2,5,6,-2,3,-6,-5,-1,0,6,2,0,3,1
2024-03-22,-3,6,0,0,0,0,-1,0,-1,0,0,-2,0,0,-4,0,0,6,-3,2,-3,-6,5,0,2,0,0,3,0
2024-03-25,-6,0,0,0,0,0,-9,0,3,0,0,5,0,0,0,0,5,5,-4,0,-7,-6,-1,0,5,0,0,0,1
2024-03-26,-5,0,0,0,0,0,-8,0,3,0,0,6,0,0,0,0,5,6,-3,0,-8,-6,-1,0,4,0,0,1,1
2024-03-27,-5,0,0,0,0,0,-8,0,3,0,0,6,0,0,0,0,5,6,-3,0,-8,-6,-1,0,4,0,0,1,1
2024-03-28,-5,0,0,0,0,0,-8,0,3,0,0,6,0,1,0,0,5,6,-3,0,-8,-6,-1,0,4,0,0,0,0
2024-04-01,-5,0,0,0,0,0,-8,0,0,0,0,6,0,0,0,0,5,6,-3,0,-8,-6,-1,0,5,0,0,1,0
2024-04-02,-5,0,0,0,0,0,-9,0,1,0,0,0,0,0,0,0,0,0,-4,0,0,-7,-1,0,5,0,0,1,0
2024-04-03,-5,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,-7,79,0,5,0,0,0,0
2024-04-04,0,9,0,0,12,0,19,6,-12,0,0,32,0,3,0,2,30,0,9,-1,6,5,9,0,0,-2,0,9,2
